fighter_name,Height_ft_in,Weight_lbs,Reach_lbs,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,Opp_Str,TD_Avg,TD_Acc,TD_Def,Opp_TD,Sub_Avg
Manny Bermudez,"5' 10""",145,71,Orthodox,16-Jul-94,2.92,0.61,2.68,0.46,0.54,3.06,0.54,0.00,1.00,3.1
Orion Cosce,"5' 11""",170,71,Switch,15-Jul-94,4.56,0.62,1.97,0.56,0.44,1.02,1.00,0.70,0.30,0
Tucker Lutz,"5' 8""",155,72,Orthodox,12-Jul-94,4.33,0.49,2.8,0.47,0.53,2,0.57,0.81,0.19,0.5
Austin Lingo,"5' 10""",145,70,Orthodox,10-Jul-94,3.57,0.44,3.17,0.62,0.38,1,0.66,0.76,0.24,0
Randy Costa,"5' 9""",135,73,Switch,6-Jul-94,7.88,0.47,5.26,0.58,0.42,0,0.00,1.00,0.00,0
Lucie Pudilova,"5' 8""",125,67,Orthodox,13-Jun-94,4.15,0.36,4.09,0.52,0.48,0.16,0.12,0.61,0.39,0.6
Xavier Siller,"5' 5""",125,,,6-Jun-94,1.02,0.36,1.53,0.57,0.43,3.83,1.00,0.00,1.00,0
Alberto Montes,"5' 7""",135,,,31-May-94,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Josh Culibao,"5' 10""",155,73,Orthodox,24-May-94,2.52,0.38,4.3,0.48,0.52,0,0.00,1.00,0.00,0
Dusko Todorovic,"6' 1""",185,74,Orthodox,19-May-94,7.45,0.62,5.42,0.46,0.54,0.53,0.06,1.00,0.00,0
JR Coughran,"5' 6""",145,,Orthodox,17-May-94,12.29,0.57,6.8,0.45,0.55,0,0.00,0.75,0.25,0
Cody Brundage,"6' 0""",205,72,Orthodox,16-May-94,7.97,0.82,6.29,0.06,0.94,6.29,0.33,0.00,1.00,0
Khamzat Chimaev,"6' 2""",170,75,Orthodox,1-May-94,9.03,0.72,0.1,0.66,0.34,4.67,0.75,0.00,1.00,3.1
Joaquin Buckley,"5' 10""",185,76,Southpaw,27-Apr-94,4.58,0.36,5.46,0.51,0.49,0.6,0.16,1.00,0.00,0
Julio Cesar Neves Jr.,"5' 8""",145,,,25-Apr-94,1.98,0.35,4.81,0.51,0.49,1.06,0.25,0.76,0.24,0
Jonathan Martinez,"5' 8""",135,70,Southpaw,20-Apr-94,4.27,0.46,3.81,0.58,0.42,0.48,0.37,0.63,0.37,0
Chibwikem Onyenegecha,"6' 3""",185,,Orthodox,18-Apr-94,5.6,0.55,3.4,0.52,0.48,0,0.00,1.00,0.00,0
Kamuela Kirk,"5' 10""",145,75,Switch,13-Apr-94,5.31,0.57,12.25,0.21,0.79,2.89,0.40,1.00,0.00,0
Benito Lopez,"5' 10""",135,73,Switch,6-Apr-94,4.49,0.44,4.8,0.58,0.42,0,0.00,0.78,0.22,0.3
Sanford Alton Meeks,"6' 5""",265,75,Orthodox,5-Apr-94,0.71,0.42,4.47,0.38,0.62,7.06,0.25,0.00,1.00,0
Gustavo Gabriel,"5' 6""",125,,Orthodox,1-Apr-94,4.06,0.65,4.26,0.46,0.54,0,0.00,0.50,0.50,0
Felipe Colares,"5' 8""",135,69,Orthodox,31-Mar-94,1.13,0.42,3,0.32,0.68,2,0.25,0.34,0.66,1
Miles Johns,"5' 7""",135,66,Orthodox,30-Mar-94,3.33,0.48,2.42,0.68,0.32,1.21,0.30,0.87,0.13,0
Khaos Williams,"6' 0""",170,77,Orthodox,30-Mar-94,4.39,0.45,2.95,0.44,0.56,0,0.00,0.00,1.00,0
Cristina Stanciu,"5' 3""",115,,Orthodox,29-Mar-94,2.5,0.50,3.07,0.52,0.48,0.85,1.00,0.40,0.60,1.7
Paige VanZant,"5' 4""",115,65,Orthodox,26-Mar-94,3.35,0.52,2.62,0.42,0.58,1.27,0.33,0.34,0.66,1
Cheyden Leialoha,"5' 8""",135,73,Orthodox,15-Mar-94,1.87,0.28,3.2,0.53,0.47,2,0.33,0.71,0.29,0
Mads Burnell,"5' 8""",145,69,Orthodox,6-Mar-94,1.28,0.41,2.71,0.51,0.49,3.45,0.47,0.22,0.78,0.4
Joel Alvarez,"6' 3""",155,77,Orthodox,2-Mar-94,2.84,0.37,3.31,0.53,0.47,0,0.00,0.00,1.00,1.6
Nohelin Hernandez,"5' 10""",135,71,Orthodox,1-Mar-94,1.32,0.34,2.63,0.52,0.48,0.71,0.50,0.37,0.63,0
Al Matavao,"5' 8""",205,67,Orthodox,23-Feb-94,7.84,0.46,6.7,0.58,0.42,0,0.00,0.00,1.00,0
Matt Sayles,"5' 7""",145,68,Orthodox,21-Feb-94,5.44,0.42,3.13,0.61,0.39,0,0.00,0.81,0.19,0.4
Grant Dawson,"5' 10""",145,72,Switch,20-Feb-94,3.4,0.48,2.1,0.51,0.49,3.44,0.34,0.40,0.60,1.6
Movsar Evloev,"5' 7""",145,72,Orthodox,11-Feb-94,4.7,0.44,2.83,0.64,0.36,2.75,0.37,0.70,0.30,0
Roosevelt Roberts,"6' 2""",155,73,Orthodox,11-Feb-94,3.03,0.49,2.27,0.52,0.48,1.75,0.53,0.58,0.42,1.1
Modestas Bukauskas,"6' 3""",205,78,Switch,10-Feb-94,3.56,0.37,5.7,0.42,0.58,0,0.00,1.00,0.00,0
Mallory Martin,"5' 4""",115,63,Orthodox,29-Jan-94,3.99,0.59,5.53,0.58,0.42,3.37,0.63,0.25,0.75,0.5
Ariane Lipski,"5' 6""",125,67,Orthodox,26-Jan-94,3.03,0.32,4.45,0.48,0.52,0.27,0.25,0.45,0.55,0.5
Mabelly Lima,"5' 2""",135,,Orthodox,25-Jan-94,3.07,0.63,5.67,0.44,0.56,0,0.00,1.00,0.00,0
Arnold Allen,"5' 8""",145,70,Southpaw,22-Jan-94,3.19,0.41,2,0.67,0.33,1.36,0.52,0.76,0.24,0.5
Impa Kasanganay,"5' 11""",185,75,Orthodox,17-Jan-94,5.36,0.49,3.52,0.60,0.40,1.44,0.83,0.63,0.37,0
Dricus Du Plessis,"6' 1""",185,76,Switch,14-Jan-94,7.72,0.44,4.16,0.67,0.33,0,0.00,0.00,1.00,0
Josiane Nunes,,135,,,23-Dec-93,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Kyron Bowen,"6' 3""",185,73,Orthodox,22-Dec-93,2.73,0.57,2.05,0.40,0.60,0,0.00,0.00,1.00,0
Ty Flores,"6' 3""",205,73,Switch,22-Dec-93,2,0.37,7.8,0.25,0.75,1,0.09,0.00,1.00,0
Ion Cutelaba,"6' 1""",205,75,Southpaw,14-Dec-93,5.1,0.39,3.37,0.48,0.52,2.41,0.71,0.80,0.20,0
Justin Tafa,"6' 0""",264,74,Southpaw,13-Dec-93,5.33,0.59,4.6,0.46,0.54,0,0.00,1.00,0.00,0
Tracy Cortez,"5' 5""",135,65,Orthodox,10-Dec-93,3.67,0.53,1.98,0.62,0.38,3,0.42,0.85,0.15,0
Da-Un Jung,"6' 4""",205,78,Orthodox,7-Dec-93,5.06,0.43,5.38,0.55,0.45,0,0.00,0.83,0.17,0.5
Brandon Moreno,"5' 7""",125,70,Orthodox,7-Dec-93,3.41,0.38,3.41,0.59,0.41,2.01,0.45,0.67,0.33,0.6
Jared Gooden,"6' 0""",170,77,Orthodox,5-Dec-93,6.67,0.47,11.2,0.49,0.51,1,1.00,1.00,0.00,0
Adrian Yanez,"5' 7""",135,70,Orthodox,29-Nov-93,4.69,0.44,2.31,0.55,0.45,0,0.00,1.00,0.00,0
Manny Vazquez,"5' 10""",125,72,Orthodox,19-Nov-93,1.47,0.41,2.67,0.48,0.52,1,0.33,0.00,1.00,1
